<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;210703;000000;72.9086;72.9086;72.9086;72.9086;0
USDCB;D;210704;000000;73.6175;73.6175;73.6175;73.6175;0
USDCB;D;210707;000000;73.354;73.354;73.354;73.354;0
USDCB;D;210708;000000;73.266;73.266;73.266;73.266;0
USDCB;D;210709;000000;74.058;74.058;74.058;74.058;0
USDCB;D;210710;000000;75.1952;75.1952;75.1952;75.1952;0
USDCB;D;210711;000000;74.4675;74.4675;74.4675;74.4675;0
USDCB;D;210714;000000;74.6336;74.6336;74.6336;74.6336;0
USDCB;D;210715;000000;74.0589;74.0589;74.0589;74.0589;0
USDCB;D;210716;000000;74.1236;74.1236;74.1236;74.1236;0
USDCB;D;210717;000000;74.2197;74.2197;74.2197;74.2197;0
USDCB;D;210718;000000;74.1656;74.1656;74.1656;74.1656;0
USDCB;D;210721;000000;74.3463;74.3463;74.3463;74.3463;0
USDCB;D;210722;000000;74.491;74.491;74.491;74.491;0
USDCB;D;210723;000000;74.4947;74.4947;74.4947;74.4947;0
USDCB;D;210724;000000;73.6945;73.6945;73.6945;73.6945;0
USDCB;D;210725;000000;73.7663;73.7663;73.7663;73.7663;0
USDCB;D;210728;000000;74.098;74.098;74.098;74.098;0
USDCB;D;210729;000000;73.8471;73.8471;73.8471;73.8471;0
USDCB;D;210730;000000;73.6088;73.6088;73.6088;73.6088;0
USDCB;D;210731;000000;73.1904;73.1904;73.1904;73.1904;0
USDCB;D;210801;000000;73.1388;73.1388;73.1388;73.1388;0
USDCB;D;210804;000000;73.0156;73.0156;73.0156;73.0156;0
USDCB;D;210805;000000;72.8724;72.8724;72.8724;72.8724;0
USDCB;D;210806;000000;72.7857;72.7857;72.7857;72.7857;0
USDCB;D;210807;000000;73.168;73.168;73.168;73.168;0
USDCB;D;210808;000000;73.1304;73.1304;73.1304;73.1304;0
USDCB;D;210811;000000;73.5078;73.5078;73.5078;73.5078;0
USDCB;D;210812;000000;73.5962;73.5962;73.5962;73.5962;0
USDCB;D;210813;000000;73.9695;73.9695;73.9695;73.9695;0
USDCB;D;210814;000000;73.5671;73.5671;73.5671;73.5671;0
USDCB;D;210815;000000;73.4721;73.4721;73.4721;73.4721;0
USDCB;D;210818;000000;73.392;73.392;73.392;73.392;0
USDCB;D;210819;000000;73.4753;73.4753;73.4753;73.4753;0
USDCB;D;210820;000000;73.4633;73.4633;73.4633;73.4633;0
USDCB;D;210821;000000;74.1503;74.1503;74.1503;74.1503;0
USDCB;D;210822;000000;74.364;74.364;74.364;74.364;0
USDCB;D;210825;000000;74.0666;74.0666;74.0666;74.0666;0
USDCB;D;210826;000000;73.9465;73.9465;73.9465;73.9465;0
USDCB;D;210827;000000;73.7428;73.7428;73.7428;73.7428;0
USDCB;D;210828;000000;73.9908;73.9908;73.9908;73.9908;0
USDCB;D;210829;000000;73.9866;73.9866;73.9866;73.9866;0
USDCB;D;210901;000000;73.5744;73.5744;73.5744;73.5744;0
USDCB;D;210902;000000;73.2781;73.2781;73.2781;73.2781;0
USDCB;D;210903;000000;73.1912;73.1912;73.1912;73.1912;0
USDCB;D;210904;000000;72.8491;72.8491;72.8491;72.8491;0
USDCB;D;210905;000000;72.8545;72.8545;72.8545;72.8545;0
USDCB;D;210908;000000;72.9538;72.9538;72.9538;72.9538;0
USDCB;D;210909;000000;73.1909;73.1909;73.1909;73.1909;0
USDCB;D;210910;000000;73.4421;73.4421;73.4421;73.4421;0
USDCB;D;210911;000000;73.129;73.129;73.129;73.129;0
USDCB;D;210912;000000;72.76;72.76;72.76;72.76;0
USDCB;D;210915;000000;73.0841;73.0841;73.0841;73.0841;0
USDCB;D;210916;000000;72.7171;72.7171;72.7171;72.7171;0
USDCB;D;210917;000000;72.852;72.852;72.852;72.852;0
USDCB;D;210918;000000;72.4329;72.4329;72.4329;72.4329;0
USDCB;D;210919;000000;72.5602;72.5602;72.5602;72.5602;0
USDCB;D;210922;000000;73.3315;73.3315;73.3315;73.3315;0
USDCB;D;210923;000000;73.2067;73.2067;73.2067;73.2067;0
USDCB;D;210924;000000;72.8806;72.8806;72.8806;72.8806;0
USDCB;D;210925;000000;72.7245;72.7245;72.7245;72.7245;0
USDCB;D;210926;000000;73.0081;73.0081;73.0081;73.0081;0
USDCB;D;210929;000000;72.6613;72.6613;72.6613;72.6613;0
USDCB;D;210930;000000;72.5083;72.5083;72.5083;72.5083;0
USDCB;D;211001;000000;72.7608;72.7608;72.7608;72.7608;0
USDCB;D;211002;000000;72.6642;72.6642;72.6642;72.6642;0
USDCB;D;211003;000000;72.9215;72.9215;72.9215;72.9215;0
USDCB;D;211006;000000;72.9239;72.9239;72.9239;72.9239;0
USDCB;D;211007;000000;72.5686;72.5686;72.5686;72.5686;0
USDCB;D;211008;000000;72.5682;72.5682;72.5682;72.5682;0
USDCB;D;211009;000000;72.2854;72.2854;72.2854;72.2854;0
USDCB;D;211010;000000;71.9882;71.9882;71.9882;71.9882;0
USDCB;D;211013;000000;71.6373;71.6373;71.6373;71.6373;0
USDCB;D;211014;000000;71.8801;71.8801;71.8801;71.8801;0
USDCB;D;211015;000000;71.8577;71.8577;71.8577;71.8577;0
USDCB;D;211016;000000;71.7846;71.7846;71.7846;71.7846;0
USDCB;D;211017;000000;71.2371;71.2371;71.2371;71.2371;0
USDCB;D;211020;000000;71.1714;71.1714;71.1714;71.1714;0
USDCB;D;211021;000000;70.9674;70.9674;70.9674;70.9674;0
USDCB;D;211022;000000;71.0555;71.0555;71.0555;71.0555;0
USDCB;D;211023;000000;70.9904;70.9904;70.9904;70.9904;0
USDCB;D;211024;000000;70.8623;70.8623;70.8623;70.8623;0
USDCB;D;211027;000000;70.1345;70.1345;70.1345;70.1345;0
USDCB;D;211028;000000;69.5526;69.5526;69.5526;69.5526;0
USDCB;D;211029;000000;69.8104;69.8104;69.8104;69.8104;0
USDCB;D;211030;000000;70.5207;70.5207;70.5207;70.5207;0
USDCB;D;211031;000000;70.52;70.52;70.52;70.52;0
USDCB;D;211103;000000;71.0863;71.0863;71.0863;71.0863;0
USDCB;D;211104;000000;71.4783;71.4783;71.4783;71.4783;0
USDCB;D;211105;000000;71.4876;71.4876;71.4876;71.4876;0
USDCB;D;211110;000000;71.3975;71.3975;71.3975;71.3975;0
USDCB;D;211111;000000;71.2866;71.2866;71.2866;71.2866;0
USDCB;D;211112;000000;70.695;70.695;70.695;70.695;0
USDCB;D;211113;000000;71.1964;71.1964;71.1964;71.1964;0
USDCB;D;211114;000000;71.8118;71.8118;71.8118;71.8118;0
USDCB;D;211117;000000;72.2724;72.2724;72.2724;72.2724;0
USDCB;D;211118;000000;72.5553;72.5553;72.5553;72.5553;0
USDCB;D;211119;000000;72.8228;72.8228;72.8228;72.8228;0
USDCB;D;211120;000000;72.6022;72.6022;72.6022;72.6022;0
USDCB;D;211121;000000;72.7617;72.7617;72.7617;72.7617;0
USDCB;D;211124;000000;73.4506;73.4506;73.4506;73.4506;0
USDCB;D;211125;000000;74.8327;74.8327;74.8327;74.8327;0
USDCB;D;211126;000000;74.3726;74.3726;74.3726;74.3726;0
USDCB;D;211127;000000;74.6004;74.6004;74.6004;74.6004;0
USDCB;D;211128;000000;75.5873;75.5873;75.5873;75.5873;0
USDCB;D;211201;000000;74.9818;74.9818;74.9818;74.9818;0
USDCB;D;211202;000000;74.8926;74.8926;74.8926;74.8926;0
USDCB;D;211203;000000;73.9746;73.9746;73.9746;73.9746;0
USDCB;D;211204;000000;74.0637;74.0637;74.0637;74.0637;0
USDCB;D;211205;000000;73.7426;73.7426;73.7426;73.7426;0
USDCB;D;211208;000000;73.6694;73.6694;73.6694;73.6694;0
USDCB;D;211209;000000;74.1399;74.1399;74.1399;74.1399;0
USDCB;D;211210;000000;73.8453;73.8453;73.8453;73.8453;0
USDCB;D;211211;000000;73.5998;73.5998;73.5998;73.5998;0
USDCB;D;211212;000000;73.6059;73.6059;73.6059;73.6059;0
USDCB;D;211215;000000;73.4107;73.4107;73.4107;73.4107;0
USDCB;D;211216;000000;73.4698;73.4698;73.4698;73.4698;0
USDCB;D;211217;000000;73.851;73.851;73.851;73.851;0
USDCB;D;211218;000000;73.5708;73.5708;73.5708;73.5708;0
USDCB;D;211219;000000;73.733;73.733;73.733;73.733;0
USDCB;D;211222;000000;74.2947;74.2947;74.2947;74.2947;0
USDCB;D;211223;000000;73.8206;73.8206;73.8206;73.8206;0
USDCB;D;211224;000000;73.7901;73.7901;73.7901;73.7901;0
USDCB;D;211225;000000;73.3583;73.3583;73.3583;73.3583;0
USDCB;D;211226;000000;73.1886;73.1886;73.1886;73.1886;0
USDCB;D;211229;000000;73.2329;73.2329;73.2329;73.2329;0
USDCB;D;211230;000000;73.4959;73.4959;73.4959;73.4959;0
USDCB;D;211231;000000;73.6514;73.6514;73.6514;73.6514;0
USDCB;D;220101;000000;74.2926;74.2926;74.2926;74.2926;0
USDCB;D;220112;000000;75.1315;75.1315;75.1315;75.1315;0
USDCB;D;220113;000000;74.8355;74.8355;74.8355;74.8355;0
USDCB;D;220114;000000;74.5277;74.5277;74.5277;74.5277;0
USDCB;D;220115;000000;74.5686;74.5686;74.5686;74.5686;0
USDCB;D;220116;000000;75.7668;75.7668;75.7668;75.7668;0
USDCB;D;220119;000000;76.0404;76.0404;76.0404;76.0404;0
USDCB;D;220120;000000;76.3347;76.3347;76.3347;76.3347;0
USDCB;D;220121;000000;76.8697;76.8697;76.8697;76.8697;0
USDCB;D;220122;000000;76.4408;76.4408;76.4408;76.4408;0
USDCB;D;220123;000000;76.6903;76.6903;76.6903;76.6903;0
USDCB;D;220126;000000;77.3649;77.3649;77.3649;77.3649;0
USDCB;D;220127;000000;78.6422;78.6422;78.6422;78.6422;0
USDCB;D;220128;000000;78.9437;78.9437;78.9437;78.9437;0
USDCB;D;220129;000000;78.947;78.947;78.947;78.947;0
USDCB;D;220130;000000;77.8174;77.8174;77.8174;77.8174;0
USDCB;D;220202;000000;77.4702;77.4702;77.4702;77.4702;0
USDCB;D;220203;000000;77.1302;77.1302;77.1302;77.1302;0
USDCB;D;220204;000000;76.4849;76.4849;76.4849;76.4849;0
USDCB;D;220205;000000;76.6501;76.6501;76.6501;76.6501;0
USDCB;D;220206;000000;76.0509;76.0509;76.0509;76.0509;0
USDCB;D;220209;000000;75.6806;75.6806;75.6806;75.6806;0
USDCB;D;220210;000000;75.3042;75.3042;75.3042;75.3042;0
USDCB;D;220211;000000;74.8015;74.8015;74.8015;74.8015;0
USDCB;D;220212;000000;74.7241;74.7241;74.7241;74.7241;0
USDCB;D;220213;000000;74.9867;74.9867;74.9867;74.9867;0
USDCB;D;220216;000000;76.5762;76.5762;76.5762;76.5762;0
USDCB;D;220217;000000;76.166;76.166;76.166;76.166;0
USDCB;D;220218;000000;75.0141;75.0141;75.0141;75.0141;0
USDCB;D;220219;000000;75.7527;75.7527;75.7527;75.7527;0
USDCB;D;220220;000000;75.7619;75.7619;75.7619;75.7619;0
